ZIP3,Location,States,Senators,Senator_Phones,Senator_Contact_Forms,House_Reps,House_Rep_Phones,House_Rep_Contact_Pages
020,"Braintree / Quincy, MA",MA,Edward J. Markey (D); Elizabeth Warren (D),202-224-2742; 202-224-4543,https://www.markey.senate.gov/contact; https://www.warren.senate.gov/?p=email_senator,James P. McGovern (D); Jake Auchincloss (D); Stephen F. Lynch (D); William R. Keating (D),202-225-6101; 202-225-5931; 202-225-8273; 202-225-3111,https://mcgovern.house.gov; https://auchincloss.house.gov; https://lynch.house.gov; https://keating.house.gov
021,"Boston, MA",MA,Edward J. Markey (D); Elizabeth Warren (D),202-224-2742; 202-224-4543,https://www.markey.senate.gov/contact; https://www.warren.senate.gov/?p=email_senator,Katherine M. Clark (D); Ayanna Pressley (D); Stephen F. Lynch (D),202-225-2836; 202-225-5111; 202-225-8273,https://katherineclark.house.gov; https://pressley.house.gov; https://lynch.house.gov
022,"Boston (Back Bay), MA",MA,Edward J. Markey (D); Elizabeth Warren (D),202-224-2742; 202-224-4543,https://www.markey.senate.gov/contact; https://www.warren.senate.gov/?p=email_senator,Jake Auchincloss (D); Ayanna Pressley (D); Stephen F. Lynch (D),202-225-5931; 202-225-5111; 202-225-8273,https://auchincloss.house.gov; https://pressley.house.gov; https://lynch.house.gov
023,"Brockton, MA",MA,Edward J. Markey (D); Elizabeth Warren (D),202-224-2742; 202-224-4543,https://www.markey.senate.gov/contact; https://www.warren.senate.gov/?p=email_senator,Jake Auchincloss (D); Ayanna Pressley (D); Stephen F. Lynch (D); William R. Keating (D),202-225-5931; 202-225-5111; 202-225-8273; 202-225-3111,https://auchincloss.house.gov; https://pressley.house.gov; https://lynch.house.gov; https://keating.house.gov
024,"Plymouth / Wareham, MA",MA,Edward J. Markey (D); Elizabeth Warren (D),202-224-2742; 202-224-4543,https://www.markey.senate.gov/contact; https://www.warren.senate.gov/?p=email_senator,Jake Auchincloss (D); Katherine M. Clark (D); Seth Moulton (D); Ayanna Pressley (D); Stephen F. Lynch (D),202-225-5931; 202-225-2836; 202-225-8020; 202-225-5111; 202-225-8273,https://auchincloss.house.gov; https://katherineclark.house.gov; https://moulton.house.gov; https://pressley.house.gov; https://lynch.house.gov
025,"Buzzards Bay / New Bedford area, MA",MA,Edward J. Markey (D); Elizabeth Warren (D),202-224-2742; 202-224-4543,https://www.markey.senate.gov/contact; https://www.warren.senate.gov/?p=email_senator,William R. Keating (D),202-225-3111,https://keating.house.gov
026,"New Bedford area, MA",MA,Edward J. Markey (D); Elizabeth Warren (D),202-224-2742; 202-224-4543,https://www.markey.senate.gov/contact; https://www.warren.senate.gov/?p=email_senator,William R. Keating (D),202-225-3111,https://keating.house.gov
027,"New Bedford, MA",MA,Edward J. Markey (D); Elizabeth Warren (D),202-224-2742; 202-224-4543,https://www.markey.senate.gov/contact; https://www.warren.senate.gov/?p=email_senator,Jake Auchincloss (D); Stephen F. Lynch (D); William R. Keating (D),202-225-5931; 202-225-8273; 202-225-3111,https://auchincloss.house.gov; https://lynch.house.gov; https://keating.house.gov
028,"Providence, RI",MA; RI,Edward J. Markey (D); Elizabeth Warren (D); Sheldon Whitehouse (D); Jack Reed (D),202-224-2742; 202-224-4543; 202-224-2921; 202-224-4642,https://www.markey.senate.gov/contact; https://www.warren.senate.gov/?p=email_senator; https://www.whitehouse.senate.gov/contact/email-sheldon; https://www.reed.senate.gov/contact/,Jake Auchincloss (D); Gabe Amo (D); Seth Magaziner (D),202-225-5931; 202-225-4911; 202-225-2735,https://auchincloss.house.gov; https://amo.house.gov; https://magaziner.house.gov
029,"Newport, RI",RI,Sheldon Whitehouse (D); Jack Reed (D),202-224-2921; 202-224-4642,https://www.whitehouse.senate.gov/contact/email-sheldon; https://www.reed.senate.gov/contact/,Gabe Amo (D); Seth Magaziner (D),202-225-4911; 202-225-2735,https://amo.house.gov; https://magaziner.house.gov
030,"Manchester, NH",NH,Jeanne Shaheen (D); Margaret Wood Hassan (D),202-224-2841; 202-224-3324,https://www.shaheen.senate.gov/contact/contact-jeanne; https://www.hassan.senate.gov/content/contact-senator,Chris Pappas (D); Maggie Goodlander (D),202-225-5456; 202-225-5206,https://pappas.house.gov; https://goodlander.house.gov
031,"Manchester (north), NH",NH,Jeanne Shaheen (D); Margaret Wood Hassan (D),202-224-2841; 202-224-3324,https://www.shaheen.senate.gov/contact/contact-jeanne; https://www.hassan.senate.gov/content/contact-senator,Chris Pappas (D),202-225-5456,https://pappas.house.gov
032,"Nashua, NH",NH,Jeanne Shaheen (D); Margaret Wood Hassan (D),202-224-2841; 202-224-3324,https://www.shaheen.senate.gov/contact/contact-jeanne; https://www.hassan.senate.gov/content/contact-senator,Chris Pappas (D); Maggie Goodlander (D),202-225-5456; 202-225-5206,https://pappas.house.gov; https://goodlander.house.gov
033,"Concord, NH",NH,Jeanne Shaheen (D); Margaret Wood Hassan (D),202-224-2841; 202-224-3324,https://www.shaheen.senate.gov/contact/contact-jeanne; https://www.hassan.senate.gov/content/contact-senator,Maggie Goodlander (D),202-225-5206,https://goodlander.house.gov
034,"Keene, NH",NH,Jeanne Shaheen (D); Margaret Wood Hassan (D),202-224-2841; 202-224-3324,https://www.shaheen.senate.gov/contact/contact-jeanne; https://www.hassan.senate.gov/content/contact-senator,Maggie Goodlander (D),202-225-5206,https://goodlander.house.gov
035,"Littleton, NH",NH,Jeanne Shaheen (D); Margaret Wood Hassan (D),202-224-2841; 202-224-3324,https://www.shaheen.senate.gov/contact/contact-jeanne; https://www.hassan.senate.gov/content/contact-senator,Maggie Goodlander (D),202-225-5206,https://goodlander.house.gov
036,"Conway / North Conway, NH",NH,Jeanne Shaheen (D); Margaret Wood Hassan (D),202-224-2841; 202-224-3324,https://www.shaheen.senate.gov/contact/contact-jeanne; https://www.hassan.senate.gov/content/contact-senator,Maggie Goodlander (D),202-225-5206,https://goodlander.house.gov
037,"Claremont, NH",NH,Jeanne Shaheen (D); Margaret Wood Hassan (D),202-224-2841; 202-224-3324,https://www.shaheen.senate.gov/contact/contact-jeanne; https://www.hassan.senate.gov/content/contact-senator,Maggie Goodlander (D),202-225-5206,https://goodlander.house.gov
038,"Portsmouth, NH",NH,Jeanne Shaheen (D); Margaret Wood Hassan (D),202-224-2841; 202-224-3324,https://www.shaheen.senate.gov/contact/contact-jeanne; https://www.hassan.senate.gov/content/contact-senator,Chris Pappas (D); Maggie Goodlander (D),202-225-5456; 202-225-5206,https://pappas.house.gov; https://goodlander.house.gov
039,"Portland, ME",ME,"Susan M. Collins (R); Angus S. King, Jr. (I)",202-224-2523; 202-224-5344,https://www.collins.senate.gov/contact; https://www.king.senate.gov/contact,Chellie Pingree (D),202-225-6116,https://pingree.house.gov
040,"Portland, ME (south)",ME,"Susan M. Collins (R); Angus S. King, Jr. (I)",202-224-2523; 202-224-5344,https://www.collins.senate.gov/contact; https://www.king.senate.gov/contact,Chellie Pingree (D); Jared F. Golden (D),202-225-6116; 202-225-6306,https://pingree.house.gov; https://golden.house.gov
041,"Auburn / Lewiston, ME",ME,"Susan M. Collins (R); Angus S. King, Jr. (I)",202-224-2523; 202-224-5344,https://www.collins.senate.gov/contact; https://www.king.senate.gov/contact,Chellie Pingree (D),202-225-6116,https://pingree.house.gov
042,"Lewiston, ME",ME,"Susan M. Collins (R); Angus S. King, Jr. (I)",202-224-2523; 202-224-5344,https://www.collins.senate.gov/contact; https://www.king.senate.gov/contact,Chellie Pingree (D); Jared F. Golden (D),202-225-6116; 202-225-6306,https://pingree.house.gov; https://golden.house.gov
043,"Augusta, ME",ME,"Susan M. Collins (R); Angus S. King, Jr. (I)",202-224-2523; 202-224-5344,https://www.collins.senate.gov/contact; https://www.king.senate.gov/contact,Chellie Pingree (D); Jared F. Golden (D),202-225-6116; 202-225-6306,https://pingree.house.gov; https://golden.house.gov
044,"Bangor, ME",ME,"Susan M. Collins (R); Angus S. King, Jr. (I)",202-224-2523; 202-224-5344,https://www.collins.senate.gov/contact; https://www.king.senate.gov/contact,Jared F. Golden (D),202-225-6306,https://golden.house.gov
045,"Bath / Brunswick, ME",ME,"Susan M. Collins (R); Angus S. King, Jr. (I)",202-224-2523; 202-224-5344,https://www.collins.senate.gov/contact; https://www.king.senate.gov/contact,Chellie Pingree (D),202-225-6116,https://pingree.house.gov
046,"Rockland, ME",ME,"Susan M. Collins (R); Angus S. King, Jr. (I)",202-224-2523; 202-224-5344,https://www.collins.senate.gov/contact; https://www.king.senate.gov/contact,Chellie Pingree (D); Jared F. Golden (D),202-225-6116; 202-225-6306,https://pingree.house.gov; https://golden.house.gov
047,"Houlton, ME",ME,"Susan M. Collins (R); Angus S. King, Jr. (I)",202-224-2523; 202-224-5344,https://www.collins.senate.gov/contact; https://www.king.senate.gov/contact,Jared F. Golden (D),202-225-6306,https://golden.house.gov
048,"Caribou / Presque Isle, ME",ME,"Susan M. Collins (R); Angus S. King, Jr. (I)",202-224-2523; 202-224-5344,https://www.collins.senate.gov/contact; https://www.king.senate.gov/contact,Chellie Pingree (D); Jared F. Golden (D),202-225-6116; 202-225-6306,https://pingree.house.gov; https://golden.house.gov
049,"Waterville, ME",ME,"Susan M. Collins (R); Angus S. King, Jr. (I)",202-224-2523; 202-224-5344,https://www.collins.senate.gov/contact; https://www.king.senate.gov/contact,Chellie Pingree (D); Jared F. Golden (D),202-225-6116; 202-225-6306,https://pingree.house.gov; https://golden.house.gov
050,"White River Junction, VT",VT,Bernard Sanders (I); Peter Welch (D),202-224-5141; 202-224-4242,https://www.sanders.senate.gov/contact/; https://www.welch.senate.gov/email-peter/,Becca Balint (D),202-225-4115,https://balint.house.gov
051,"Bellows Falls / Springfield, VT",VT,Bernard Sanders (I); Peter Welch (D),202-224-5141; 202-224-4242,https://www.sanders.senate.gov/contact/; https://www.welch.senate.gov/email-peter/,Becca Balint (D),202-225-4115,https://balint.house.gov
052,"Saint Johnsbury, VT",VT,Bernard Sanders (I); Peter Welch (D),202-224-5141; 202-224-4242,https://www.sanders.senate.gov/contact/; https://www.welch.senate.gov/email-peter/,Becca Balint (D),202-225-4115,https://balint.house.gov
053,"Brattleboro, VT",VT,Bernard Sanders (I); Peter Welch (D),202-224-5141; 202-224-4242,https://www.sanders.senate.gov/contact/; https://www.welch.senate.gov/email-peter/,Becca Balint (D),202-225-4115,https://balint.house.gov
054,"Burlington, VT",VT,Bernard Sanders (I); Peter Welch (D),202-224-5141; 202-224-4242,https://www.sanders.senate.gov/contact/; https://www.welch.senate.gov/email-peter/,Becca Balint (D),202-225-4115,https://balint.house.gov
055,"Montpelier, VT",VT,Bernard Sanders (I); Peter Welch (D),202-224-5141; 202-224-4242,https://www.sanders.senate.gov/contact/; https://www.welch.senate.gov/email-peter/,,,
056,"Rutland, VT",VT,Bernard Sanders (I); Peter Welch (D),202-224-5141; 202-224-4242,https://www.sanders.senate.gov/contact/; https://www.welch.senate.gov/email-peter/,Becca Balint (D),202-225-4115,https://balint.house.gov
057,"Barre / Montpelier, VT",VT,Bernard Sanders (I); Peter Welch (D),202-224-5141; 202-224-4242,https://www.sanders.senate.gov/contact/; https://www.welch.senate.gov/email-peter/,Becca Balint (D),202-225-4115,https://balint.house.gov
058,"Saint Albans, VT",VT,Bernard Sanders (I); Peter Welch (D),202-224-5141; 202-224-4242,https://www.sanders.senate.gov/contact/; https://www.welch.senate.gov/email-peter/,Becca Balint (D),202-225-4115,https://balint.house.gov
059,"Middlebury, VT",VT,Bernard Sanders (I); Peter Welch (D),202-224-5141; 202-224-4242,https://www.sanders.senate.gov/contact/; https://www.welch.senate.gov/email-peter/,Becca Balint (D),202-225-4115,https://balint.house.gov
060,"Hartford, CT",CT,Richard Blumenthal (D); Christopher Murphy (D),202-224-2823; 202-224-4041,https://www.blumenthal.senate.gov/contact/; https://www.murphy.senate.gov/contact,John B. Larson (D); Joe Courtney (D); Jahana Hayes (D),202-225-2265; 202-225-2076; 202-225-4476,https://larson.house.gov; https://courtney.house.gov; https://hayes.house.gov
061,"Hartford suburbs, CT",CT,Richard Blumenthal (D); Christopher Murphy (D),202-224-2823; 202-224-4041,https://www.blumenthal.senate.gov/contact/; https://www.murphy.senate.gov/contact,John B. Larson (D); Jahana Hayes (D),202-225-2265; 202-225-4476,https://larson.house.gov; https://hayes.house.gov
062,"Willimantic / New Britain, CT",CT,Richard Blumenthal (D); Christopher Murphy (D),202-224-2823; 202-224-4041,https://www.blumenthal.senate.gov/contact/; https://www.murphy.senate.gov/contact,Joe Courtney (D),202-225-2076,https://courtney.house.gov
063,"New London, CT",CT; NY,Richard Blumenthal (D); Christopher Murphy (D); Kirsten E. Gillibrand (D); Charles E. Schumer (D),202-224-2823; 202-224-4041; 202-224-4451; 202-224-6542,https://www.blumenthal.senate.gov/contact/; https://www.murphy.senate.gov/contact; https://www.gillibrand.senate.gov/contact/email-me; https://www.schumer.senate.gov/contact/email-chuck,Joe Courtney (D); Nick LaLota (R),202-225-2076; 202-225-3826,https://courtney.house.gov; https://lalota.house.gov
064,"Middletown, CT",CT,Richard Blumenthal (D); Christopher Murphy (D),202-224-2823; 202-224-4041,https://www.blumenthal.senate.gov/contact/; https://www.murphy.senate.gov/contact,John B. Larson (D); Joe Courtney (D); Rosa L. DeLauro (D); James A. Himes (D); Jahana Hayes (D),202-225-2265; 202-225-2076; 202-225-3661; 202-225-5541; 202-225-4476,https://larson.house.gov; https://courtney.house.gov; https://delauro.house.gov; https://himes.house.gov; https://hayes.house.gov
065,"New Haven, CT",CT,Richard Blumenthal (D); Christopher Murphy (D),202-224-2823; 202-224-4041,https://www.blumenthal.senate.gov/contact/; https://www.murphy.senate.gov/contact,Rosa L. DeLauro (D),202-225-3661,https://delauro.house.gov
066,"Bridgeport, CT",CT,Richard Blumenthal (D); Christopher Murphy (D),202-224-2823; 202-224-4041,https://www.blumenthal.senate.gov/contact/; https://www.murphy.senate.gov/contact,Rosa L. DeLauro (D); James A. Himes (D),202-225-3661; 202-225-5541,https://delauro.house.gov; https://himes.house.gov
067,"Waterbury, CT",CT,Richard Blumenthal (D); Christopher Murphy (D),202-224-2823; 202-224-4041,https://www.blumenthal.senate.gov/contact/; https://www.murphy.senate.gov/contact,John B. Larson (D); Rosa L. DeLauro (D); Jahana Hayes (D),202-225-2265; 202-225-3661; 202-225-4476,https://larson.house.gov; https://delauro.house.gov; https://hayes.house.gov
068,"Norwalk, CT",CT,Richard Blumenthal (D); Christopher Murphy (D),202-224-2823; 202-224-4041,https://www.blumenthal.senate.gov/contact/; https://www.murphy.senate.gov/contact,James A. Himes (D); Jahana Hayes (D),202-225-5541; 202-225-4476,https://himes.house.gov; https://hayes.house.gov
069,"Stamford, CT",CT,Richard Blumenthal (D); Christopher Murphy (D),202-224-2823; 202-224-4041,https://www.blumenthal.senate.gov/contact/; https://www.murphy.senate.gov/contact,James A. Himes (D),202-225-5541,https://himes.house.gov
070,"Newark, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,"LaMonica McIver (D); Analilia Mejia (D); Bonnie Watson Coleman (D); Josh Gottheimer (D); Frank Pallone, Jr. (D); Thomas H. Kean, Jr. (R); Robert Menendez (D); Nellie Pou (D)",202-225-3436; 202-225-5034; 202-225-5801; 202-225-4465; 202-225-4671; 202-225-5361; 202-225-7919; 202-225-5751,https://mciver.house.gov; https://mejia.house.gov; https://watsoncoleman.house.gov; https://gottheimer.house.gov; https://pallone.house.gov; https://kean.house.gov; https://menendez.house.gov; https://pou.house.gov
071,"Newark suburbs, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,LaMonica McIver (D); Analilia Mejia (D); Robert Menendez (D); Nellie Pou (D),202-225-3436; 202-225-5034; 202-225-7919; 202-225-5751,https://mciver.house.gov; https://mejia.house.gov; https://menendez.house.gov; https://pou.house.gov
072,"Elizabeth, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,LaMonica McIver (D); Robert Menendez (D),202-225-3436; 202-225-7919,https://mciver.house.gov; https://menendez.house.gov
073,"Jersey City, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,LaMonica McIver (D); Robert Menendez (D); Nellie Pou (D),202-225-3436; 202-225-7919; 202-225-5751,https://mciver.house.gov; https://menendez.house.gov; https://pou.house.gov
074,"Paterson, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,"Analilia Mejia (D); Josh Gottheimer (D); Thomas H. Kean, Jr. (R); Nellie Pou (D)",202-225-5034; 202-225-4465; 202-225-5361; 202-225-5751,https://mejia.house.gov; https://gottheimer.house.gov; https://kean.house.gov; https://pou.house.gov
075,Paterson north / Rockaway NJ,NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,Analilia Mejia (D); Nellie Pou (D),202-225-5034; 202-225-5751,https://mejia.house.gov; https://pou.house.gov
076,"Hackensack, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,Josh Gottheimer (D); Nellie Pou (D),202-225-4465; 202-225-5751,https://gottheimer.house.gov; https://pou.house.gov
077,"Long Branch / Asbury Park, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,"Bonnie Watson Coleman (D); Herbert C. Conaway, Jr. (D); Christopher H. Smith (R); Frank Pallone, Jr. (D)",202-225-5801; 202-225-4765; 202-225-3765; 202-225-4671,https://watsoncoleman.house.gov; https://conaway.house.gov; https://chrissmith.house.gov; https://pallone.house.gov
078,"Dover / Rockaway, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,"Analilia Mejia (D); Josh Gottheimer (D); Thomas H. Kean, Jr. (R)",202-225-5034; 202-225-4465; 202-225-5361,https://mejia.house.gov; https://gottheimer.house.gov; https://kean.house.gov
079,"Summit / Morristown, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,"Analilia Mejia (D); Thomas H. Kean, Jr. (R)",202-225-5034; 202-225-5361,https://mejia.house.gov; https://kean.house.gov
080,"Trenton, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,"Donald Norcross (D); Jefferson Van Drew (R); Herbert C. Conaway, Jr. (D)",202-225-6501; 202-225-6572; 202-225-4765,https://norcross.house.gov; https://vandrew.house.gov; https://conaway.house.gov
081,"Trenton (south), NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,Donald Norcross (D),202-225-6501,https://norcross.house.gov
082,"Atlantic City, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,"Jefferson Van Drew (R); Herbert C. Conaway, Jr. (D)",202-225-6572; 202-225-4765,https://vandrew.house.gov; https://conaway.house.gov
083,"Vineland, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,Jefferson Van Drew (R),202-225-6572,https://vandrew.house.gov
084,"Pleasantville / Atlantic County, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,Jefferson Van Drew (R),202-225-6572,https://vandrew.house.gov
085,"Camden, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,"Bonnie Watson Coleman (D); Herbert C. Conaway, Jr. (D); Christopher H. Smith (R); Thomas H. Kean, Jr. (R)",202-225-5801; 202-225-4765; 202-225-3765; 202-225-5361,https://watsoncoleman.house.gov; https://conaway.house.gov; https://chrissmith.house.gov; https://kean.house.gov
086,"Trenton metro, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,"Bonnie Watson Coleman (D); Herbert C. Conaway, Jr. (D)",202-225-5801; 202-225-4765,https://watsoncoleman.house.gov; https://conaway.house.gov
087,"Red Bank / Freehold, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,"Jefferson Van Drew (R); Herbert C. Conaway, Jr. (D); Christopher H. Smith (R)",202-225-6572; 202-225-4765; 202-225-3765,https://vandrew.house.gov; https://conaway.house.gov; https://chrissmith.house.gov
088,"New Brunswick, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,"Bonnie Watson Coleman (D); Frank Pallone, Jr. (D); Thomas H. Kean, Jr. (R)",202-225-5801; 202-225-4671; 202-225-5361,https://watsoncoleman.house.gov; https://pallone.house.gov; https://kean.house.gov
089,"Freehold / Ocean County, NJ",NJ,Cory A. Booker (D); Andy Kim (D),202-224-3224; 202-224-4744,https://www.booker.senate.gov/?p=contact; https://www.kim.senate.gov,"Bonnie Watson Coleman (D); Frank Pallone, Jr. (D)",202-225-5801; 202-225-4671,https://watsoncoleman.house.gov; https://pallone.house.gov
100,"New York City (Manhattan), NY",NY,Kirsten E. Gillibrand (D); Charles E. Schumer (D),202-224-4451; 202-224-6542,https://www.gillibrand.senate.gov/contact/email-me; https://www.schumer.senate.gov/contact/email-chuck,Daniel S. Goldman (D); Jerrold Nadler (D); Adriano Espaillat (D),202-225-7944; 202-225-5635; 202-225-4365,https://goldman.house.gov; https://nadler.house.gov; https://espaillat.house.gov
101,"New York City (Manhattan), NY",NY,Kirsten E. Gillibrand (D); Charles E. Schumer (D),202-224-4451; 202-224-6542,https://www.gillibrand.senate.gov/contact/email-me; https://www.schumer.senate.gov/contact/email-chuck,Jerrold Nadler (D); Adriano Espaillat (D),202-225-5635; 202-225-4365,https://nadler.house.gov; https://espaillat.house.gov
102,"New York City (Manhattan), NY",NY,Kirsten E. Gillibrand (D); Charles E. Schumer (D),202-224-4451; 202-224-6542,https://www.gillibrand.senate.gov/contact/email-me; https://www.schumer.senate.gov/contact/email-chuck,Daniel S. Goldman (D),202-225-7944,https://goldman.house.gov
103,"Staten Island, NY",NY,Kirsten E. Gillibrand (D); Charles E. Schumer (D),202-224-4451; 202-224-6542,https://www.gillibrand.senate.gov/contact/email-me; https://www.schumer.senate.gov/contact/email-chuck,Nicole Malliotakis (R),202-225-3371,https://malliotakis.house.gov
104,"Bronx, NY",NY,Kirsten E. Gillibrand (D); Charles E. Schumer (D),202-224-4451; 202-224-6542,https://www.gillibrand.senate.gov/contact/email-me; https://www.schumer.senate.gov/contact/email-chuck,Adriano Espaillat (D); Alexandria Ocasio-Cortez (D); Ritchie Torres (D); George Latimer (D),202-225-4365; 202-225-3965; 202-225-4361; 202-225-2464,https://espaillat.house.gov; https://ocasio-cortez.house.gov; https://ritchietorres.house.gov; https://latimer.house.gov
