iata,name,city,country,lat,lon
LBB,Lubbock Preston Smith International Airport,Lubbock,United States,33.663601,-101.822998
LIT,Bill & Hillary Clinton National Airport/Adams Field,Little Rock,United States,34.729400634799994,-92.2242965698
MAF,Midland International Airport,Midland,United States,31.9424991607666,-102.2020034790039
MCI,Kansas City International Airport,Kansas City,United States,39.2976,-94.713898
MCO,Orlando International Airport,Orlando,United States,28.429399490356445,-81.30899810791016
MDW,Chicago Midway International Airport,Chicago,United States,41.785999,-87.752403
MEM,Memphis International Airport,Memphis,United States,35.04240036010742,-89.97669982910156
MFE,Mc Allen Miller International Airport,Mcallen,United States,26.17580032,-98.23860168
MFR,Rogue Valley International Medford Airport,Medford,United States,42.37419891357422,-122.87300109863281
MIA,Miami International Airport,Miami,United States,25.79319953918457,-80.29060363769531
MKE,General Mitchell International Airport,Milwaukee,United States,42.947200775146484,-87.89659881591797
MOT,Minot International Airport,Minot,United States,48.2593994140625,-101.27999877929688
MSO,Missoula International Airport,Missoula,United States,46.91630173,-114.0910034
MSP,Minneapolis-St Paul International/Wold-Chamberlain Airport,Minneapolis,United States,44.882,-93.221802
MSY,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.99340057373047,-90.25800323486328
MYR,Myrtle Beach International Airport,Myrtle Beach,United States,33.6796989441,-78.9282989502
OKC,Will Rogers World Airport,Oklahoma City,United States,35.39310073852539,-97.60070037841797
OMA,Eppley Airfield,Omaha,United States,41.3032,-95.894096
ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048
ORF,Norfolk International Airport,Norfolk,United States,36.89459991455078,-76.20120239257812
PDX,Portland International Airport,Portland,United States,45.58869934,-122.5979996
PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865112305,-75.24109649658203
PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429946899414,-112.01200103759766
PIT,Pittsburgh International Airport,Pittsburgh,United States,40.49150085,-80.23290253
PNS,Pensacola Regional Airport,Pensacola,United States,30.473400115967,-87.186599731445
PSP,Palm Springs International Airport,Palm Springs,United States,33.8297004699707,-116.50700378417969
PWM,Portland International Jetport Airport,Portland,United States,43.64619827,-70.30930328
RAP,Rapid City Regional Airport,Rapid City,United States,44.0452995300293,-103.05699920654297
RDU,Raleigh Durham International Airport,Raleigh-durham,United States,35.877601623535156,-78.7874984741211
RIC,Richmond International Airport,Richmond,United States,37.50519943237305,-77.3197021484375
RNO,Reno Tahoe International Airport,Reno,United States,39.49909973144531,-119.76799774169922
ROC,Greater Rochester International Airport,Rochester,United States,43.118900299072266,-77.67240142822266
RSW,Southwest Florida International Airport,Fort Myers,United States,26.53619956970215,-81.75520324707031
SAN,San Diego International Airport,San Diego,United States,32.7336006165,-117.190002441
SAV,Savannah Hilton Head International Airport,Savannah,United States,32.12760162,-81.20210266
SDF,Louisville International Standiford Field,Louisville,United States,38.1744,-85.736
SEA,Seattle Tacoma International Airport,Seattle,United States,47.449001,-122.308998
SFO,San Francisco International Airport,San Francisco,United States,37.61899948120117,-122.375
SHV,Shreveport Regional Airport,Shreveport,United States,32.446602,-93.8256
SJU,Luis Munoz Marin International Airport,San Juan,Puerto Rico,18.4393997192,-66.0018005371
SLC,Salt Lake City International Airport,Salt Lake City,United States,40.78839874267578,-111.97799682617188
SMF,Sacramento International Airport,Sacramento,United States,38.69540023803711,-121.59100341796875
STL,St Louis Lambert International Airport,St. Louis,United States,38.748697,-90.370003
STT,Cyril E. King Airport,St. Thomas,Virgin Islands,18.337299346923828,-64.97339630126953
SYR,Syracuse Hancock International Airport,Syracuse,United States,43.11119842529297,-76.1063003540039
TLH,Tallahassee Regional Airport,Tallahassee,United States,30.396499633789062,-84.35030364990234
TPA,Tampa International Airport,Tampa,United States,27.975500106811523,-82.533203125
TUL,Tulsa International Airport,Tulsa,United States,36.19839859008789,-95.88809967041016
TUS,Tucson International Airport,Tucson,United States,32.1161003112793,-110.94100189208984
TYS,McGhee Tyson Airport,Knoxville,United States,35.81100082,-83.9940033
VPS,Destin-Ft Walton Beach Airport,Valparaiso,United States,30.4832,-86.525398
XNA,Northwest Arkansas Regional Airport,Bentonville,United States,36.281898,-94.306801
YAM,Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.48500061035156,-84.5093994140625
YAT,Attawapiskat Airport,Attawapiskat,Canada,52.9275016784668,-82.43190002441406
YBC,Baie Comeau Airport,Baie Comeau,Canada,49.13249969482422,-68.20439910888672
YBG,CFB Bagotville,Bagotville,Canada,48.33060073852539,-70.99639892578125
YBR,Brandon Municipal Airport,Brandon,Canada,49.91,-99.951897
YCB,Cambridge Bay Airport,Cambridge Bay,Canada,69.1081008911,-105.138000488
YCD,Nanaimo Airport,Nanaimo,Canada,49.054970224899996,-123.869862556
YDF,Deer Lake Airport,Deer Lake,Canada,49.21080017089844,-57.39139938354492
YEG,Edmonton International Airport,Edmonton,Canada,53.309700012200004,-113.580001831
YFC,Fredericton Airport,Fredericton,Canada,45.868900299072266,-66.53720092773438
YGL,La Grande Rivière Airport,La Grande Riviere,Canada,53.625301361083984,-77.7042007446289
YGR,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Canada,47.42470169067383,-61.778099060058594
YHO,Hopedale Airport,Hopedale,Canada,55.448299407958984,-60.228599548339844
YHZ,Halifax / Stanfield International Airport,Halifax,Canada,44.8807983398,-63.5085983276
YLW,Kelowna International Airport,Kelowna,Canada,49.9561004639,-119.377998352
YMM,Fort McMurray Airport,Fort Mcmurray,Canada,56.653301239,-111.222000122
YOW,Ottawa Macdonald-Cartier International Airport,Ottawa,Canada,45.3224983215332,-75.66919708251953
YPL,Pickle Lake Airport,Pickle Lake,Canada,51.4463996887207,-90.21420288085938
YPR,Prince Rupert Airport,Prince Pupert,Canada,54.286098480199996,-130.445007324
YPX,Puvirnituq Airport,Puvirnituq,Canada,60.05059814453125,-77.28690338134766
YQB,Quebec Jean Lesage International Airport,Quebec,Canada,46.7911,-71.393303
YQL,Lethbridge County Airport,Lethbridge,Canada,49.6302986145,-112.800003052
YQM,Greater Moncton International Airport,Moncton,Canada,46.11220169067383,-64.67859649658203
YQR,Regina International Airport,Regina,Canada,50.43190002441406,-104.66600036621094
YQT,Thunder Bay Airport,Thunder Bay,Canada,48.37189865112305,-89.32389831542969
YQU,Grande Prairie Airport,Grande Prairie,Canada,55.1796989441,-118.885002136
YRB,Resolute Bay Airport,Resolute,Canada,74.7169036865,-94.9693984985
YSB,Sudbury Airport,Sudbury,Canada,46.625,-80.79889678955078
YTH,Thompson Airport,Thompson,Canada,55.80110168457031,-97.86419677734375
YUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.4706001282,-73.7407989502
YVQ,Norman Wells Airport,Norman Wells,Canada,65.28160095214844,-126.7979965209961
YVR,Vancouver International Airport,Vancouver,Canada,49.193901062,-123.183998108
YWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Canada,49.909999847399995,-97.2398986816
YXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Canada,52.170799255371094,-106.69999694824219
YXH,Medicine Hat Airport,Medicine Hat,Canada,50.01890182495117,-110.72100067138672
YXJ,Fort St John Airport,Fort Saint John,Canada,56.23809814453125,-120.73999786376953
YXS,Prince George Airport,Prince George,Canada,53.8894004822,-122.679000854
YXU,London Airport,London,Canada,43.035599,-81.1539
YXY,Whitehorse / Erik Nielsen International Airport,Whitehorse,Canada,60.7095985413,-135.067001343
YYC,Calgary International Airport,Calgary,Canada,51.113899231,-114.019996643
YYD,Smithers Airport,Smithers,Canada,54.82469940185547,-127.18299865722656
YYT,St. John's International Airport,St. John's,Canada,47.618598938,-52.7518997192
YYZ,Lester B. Pearson International Airport,Toronto,Canada,43.6772003174,-79.63059997559999
YZF,Yellowknife Airport,Yellowknife,Canada,62.462799072265625,-114.44000244140625
YZV,Sept-Îles Airport,Sept-iles,Canada,50.22330093383789,-66.2656021118164
